"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"weight"
"mRNA:Solyc00g125980.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g244300.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g244290.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g244280.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160370.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500169.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500170.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160380.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g013170.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g013180.1.1"	0.15701333743146	0.736399783724001	4.0804728567969	0.180469227358631	0.856784210745833	1	0
"mRNA:Solyc00g160180.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500171.1.1"	0.15701333743146	0.736399783724001	4.0804728567969	0.180469227358631	0.856784210745833	1	0
"mRNA:Solyc00g500172.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g320430.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500173.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g019730.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500174.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500176.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500177.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500178.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500179.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500180.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500181.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160410.1.1"	1.17528240678756	3.57371676574771	3.94129669205777	0.90673629644508	0.364546264409473	1	0
"mRNA:Solyc00g118690.1.1"	17.6746869426197	7.48316425110015	1.569709572876	4.76722852456688	1.86777415362721e-06	1.45298495645427e-05	1.02708366792473
"mRNA:Solyc00g160400.1.1"	6.76226954247529	3.08729685730413	1.94547790923528	1.58690923327815	0.112533203421246	0.20834048964706	1.02708366792473
"mRNA:Solyc00g023590.2.1"	13.2088755983279	7.06314933763803	1.5845524000095	4.45750442686257	8.29193253215103e-06	6.68001746536878e-05	0.816980005953433
"mRNA:Solyc00g023580.1.1"	1.93810653123838	4.29558778991861	2.53173152548857	1.69669956971036	0.0897534740790698	0.898939352881292	0.120668837269205
"mRNA:Solyc00g023570.1.1"	4.84452921773368	5.61604097639235	1.7789601368042	3.15692345219227	0.00159443196278077	0.0121560114692395	0.429556466338979
"mRNA:Solyc00g014860.1.1"	0.663071420930819	-0.316015901249714	3.99612560776911	-0.0790805726014538	0.936968535930949	1	0
"mRNA:Solyc00g014850.1.1"	5.57515046084025	3.91083534199729	2.18563176631066	1.78933862614871	0.0735602969546213	0.297471949113543	0.429556466338979
"mRNA:Solyc00g500183.1.1"	14.0795286075043	1.96048081434767	1.13550312255586	1.72653053558752	0.0842520107134187	0.250876609652841	0.609456350440343
"mRNA:Solyc00g500184.1.1"	15.8242836064861	2.1908801362053	0.99185964613456	2.20886104676556	0.0271843073347363	0.0989399865440886	0.613770152150878
"mRNA:Solyc00g500185.1.1"	5.62770819419033	0.56303329933035	1.81132806162227	0.310840046736803	0.755922223785196	1	0.428331451216983
"mRNA:Solyc00g014810.1.1"	0.881461805090668	3.15939980825421	3.95271890330903	0.799297872056954	0.424117712473425	1	0
"mRNA:Solyc00g014800.1.1"	0.75272108786781	2.93006720650149	3.96058323103888	0.739807002044223	0.459417109714916	1	0
"mRNA:Solyc00g014790.2.1"	16.0043870114745	5.47716786787798	1.56599689857922	3.497559843731	0.000469535356944111	0.00234121066406825	0.832084209020056
"mRNA:Solyc00g094550.1.1"	0.764860613991269	2.9518176487695	3.9597832767851	0.74544929417603	0.456000153502097	1	0
"mRNA:Solyc00g094540.1.1"	5.64372416284869	4.82958021421361	1.79171273928571	2.69551033953076	0.00702808965502106	0.043126018000667	0.429556466338979
"mRNA:Solyc00g094530.1.1"	7.39317674412725	3.71248766768609	1.5122886871022	2.45488027474426	0.0140931516996245	0.0577157088534983	0.609456350440343
"mRNA:Solyc00g094520.1.1"	8.25776881495864	6.38558005631189	1.7334609793164	3.68371721804206	0.000229857232033056	0.00127908799747174	0.816980005953433
"mRNA:Solyc00g023700.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g023710.1.1"	0	NA	NA	NA	NA	NA	NA
