"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"weight"
"mRNA:Solyc00g160360.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500164.1.1"	72.0002035031838	1.8030079543628	0.433461043370549	4.15956169980766	3.18858880321564e-05	0.000191123236739893	0.581303123041637
"mRNA:Solyc00g500165.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g112190.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160030.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500166.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500167.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g230080.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g316530.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g069880.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500168.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g013100.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g013110.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g126010.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g126000.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g125990.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g125980.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g244300.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g244290.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g244280.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160370.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500169.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500170.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160380.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g013170.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g013180.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160180.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500171.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500172.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g320430.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500173.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g019730.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500174.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500176.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500177.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500178.1.1"	0	NA	NA	NA	NA	NA	NA
