"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"weight"
"mRNA:Solyc00g160020.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160340.1.1"	0.19285145599079	-0.840772330984867	3.11653965008542	-0.269777517819105	0.787331419919043	1	0
"mRNA:Solyc00g160670.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160350.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500123.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500124.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500125.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500126.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500127.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500128.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500129.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500130.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500131.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500132.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500133.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500134.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500135.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160170.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500136.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500137.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500138.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500139.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500140.1.1"	0.0964257279953949	-0.359880990419457	3.11653965008542	-0.115474542545799	0.908068997583247	1	0
"mRNA:Solyc00g500141.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500142.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500144.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500145.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500147.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500148.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500149.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500150.1.1"	0.137407960858543	-0.840772330984866	3.11653965008542	-0.269777517819105	0.787331419919043	1	0
"mRNA:Solyc00g500151.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500152.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500153.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500154.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500155.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500156.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500157.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500158.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500159.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500161.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500162.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500163.1.1"	0.187862780423429	1.08279770220093	3.11653965008542	0.347435882027443	0.728263880314764	1	0
"mRNA:Solyc00g160360.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500164.1.1"	15.2780068580897	1.80597732267568	1.0958521350907	1.64801186660662	0.0993502361145682	0.0982995270136235	1.65156767945516
"mRNA:Solyc00g500165.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g112190.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160030.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500166.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500167.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g230080.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g316530.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g069880.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500168.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g013100.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g013110.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g126010.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g126000.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g125990.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g125980.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g244300.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g244290.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g244280.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160370.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500169.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500170.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160380.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g013170.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g013180.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160180.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500171.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500172.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g320430.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500173.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g019730.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500174.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500176.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500177.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500178.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500179.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500180.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500181.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160410.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g118690.1.1"	0.40254175325403	0.674496260554777	2.73594112806291	0.246531715772821	0.805270656258133	1	0.159992729123902
"mRNA:Solyc00g160400.1.1"	0.0809539788879415	0.60190402617344	3.11653965008542	0.193132157377475	0.846855468788171	1	0
"mRNA:Solyc00g023590.2.1"	0.340946960028806	1.96371027268817	3.08966316114282	0.63557422614374	0.525053972938023	1	0
"mRNA:Solyc00g023580.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g023570.1.1"	0.278771324919657	1.64226945800982	3.10987527680693	0.528082097136712	0.597442356071506	1	0
"mRNA:Solyc00g014860.1.1"	0.137407960858543	-0.840772330984866	3.11653965008542	-0.269777517819105	0.787331419919043	1	0
"mRNA:Solyc00g014850.1.1"	2.3365139248836	1.97930914247406	1.28786842729757	1.53688769793619	0.124320812581217	0.138941789569469	1.40363865533585
"mRNA:Solyc00g500183.1.1"	10.9250971861633	2.17448723279791	0.502334952124073	4.32875957287724	1.49951524163549e-05	3.42474394296461e-05	1.4396689251059
"mRNA:Solyc00g500184.1.1"	7.12962026946005	0.974282844189053	0.61249454980836	1.59068002236737	0.111681605125536	0.0968045429979937	1.88886759389152
"mRNA:Solyc00g500185.1.1"	7.07525897055019	1.6688105548189	0.667390874041696	2.50049951194664	0.0124018303905397	0.0169336707207151	1.4396689251059
"mRNA:Solyc00g014810.1.1"	0.181817088992455	1.08279770220093	3.11653965008542	0.347435882027443	0.728263880314764	1	0
"mRNA:Solyc00g014800.1.1"	0.153084179605376	1.08279770220093	3.11653965008542	0.347435882027443	0.728263880314764	1	0
"mRNA:Solyc00g014790.2.1"	2.02077018550278	1.59492889582774	1.26290657712683	1.26290330948808	0.206623930442938	0.217067924075306	1.40467719584527
"mRNA:Solyc00g094550.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g094540.1.1"	2.03398281382664	0.5123731609134	1.03523997415364	0.494931777854012	0.620648278267853	0.551447015436816	1.4396689251059
"mRNA:Solyc00g094530.1.1"	3.18849559142693	0.0849915555809005	0.63144654313081	0.134598180171356	0.892929580527347	0.745896864262445	1.4396689251059
"mRNA:Solyc00g094520.1.1"	0.930857117248411	2.82882526693847	1.52803078789608	1.85128813460194	0.0641281121670991	0.518770042435958	0.159992729123902
"mRNA:Solyc00g023700.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g023710.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g049210.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g049220.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500186.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500187.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500188.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500189.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160390.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g021660.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500190.1.1"	0.122690351486649	-0.840772330984866	3.11653965008542	-0.269777517819105	0.787331419919043	1	0
"mRNA:Solyc00g500191.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500192.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500193.1.1"	1.06569655490776	-3.48993697263457	1.73410256343462	-2.01253204177398	0.0441638825462742	0.25125353150537	0.253930411020392
"mRNA:Solyc00g160420.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500194.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500195.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500196.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500197.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500198.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500199.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500200.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500201.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500202.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500203.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500204.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500205.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160190.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500206.1.1"	0.852167429543835	-1.89286979219226	1.66983834436652	-1.13356469419819	0.256977189691359	1	0.253930411020392
"mRNA:Solyc00g500207.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500208.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500209.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500210.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500211.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500213.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500214.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g322630.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500215.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500216.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500218.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g266110.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g254910.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500219.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500220.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500222.2.1"	0.855691276631026	0.738183773096327	2.10931618755046	0.349963546220908	0.726366055680709	1	0.253930411020392
"mRNA:Solyc03g042528.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc03g042550.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160680.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160450.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160430.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g198360.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160440.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g036520.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g052540.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g052530.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500224.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g047180.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g047190.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g047200.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160040.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500225.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500226.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500227.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500228.1.1"	5.83717830054898	0.530478496355639	1.01926658734132	0.520451178272556	0.602749147490587	0.538198959317678	1.4396689251059
"mRNA:Solyc00g500229.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500230.1.1"	0	NA	NA	NA	NA	NA	NA
