	stat_Pinfestans	stat_Cfulvum	stat_PSTVd_S23	stat_PSTVd_M	stat_Bcinerea	stat_Mincognita_7dpi	stat_Mincognita_14dpi
mRNA:Solyc00g160640.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500095.1.1	-3.88402837943497	0.0	0.391211949197155	-2.02870043576511	3.66267434834334	-1.64790884509397	1.51598521845189
mRNA:Solyc00g500096.2.1	0.0	0.0	0.0	0.0270676967403701	0.0	0.0	0.0
mRNA:Solyc00g011560.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500097.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500098.1.1	0.0	0.0	0.217937540056035	-0.46704685403765	0.0	0.0	0.0
mRNA:Solyc00g500099.1.1	0.0	0.0	-0.0881141156382516	-0.0692682149273175	0.0	0.0	0.0
mRNA:Solyc00g500101.1.1	0.0	0.0	-0.122437362098062	-0.10548716053788	0.0	0.0	0.0
mRNA:Solyc00g500102.1.1	0.0	0.18046922735863	0.484960767570273	0.74574245791212	0.0	0.0	0.0
mRNA:Solyc00g153980.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g309530.1.1	0.0	0.0	-0.40220034132389	-0.306359985382666	0.0	0.0	0.0
mRNA:Solyc00g164580.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g210860.1.1	0.0	0.18046922735863	0.0	0.0270676967403701	0.0	0.0	0.0
mRNA:Solyc00g025400.2.1	0.0	0.0	0.254891844169408	-0.306359985382666	0.0	0.0	0.0
mRNA:Solyc00g022070.1.1	0.0	0.0	-0.0686855001705258	0.0	0.0	0.0	0.0
mRNA:Solyc00g022080.1.1	0.0	0.0	-0.40220034132389	0.0404542432542815	0.0	0.0	0.0
mRNA:Solyc00g022090.1.1	0.0	0.0	-0.338725498560965	-0.242627356431024	0.0	0.0	0.0
mRNA:Solyc00g022100.1.1	0.0	0.0	-0.391409440216635	-0.566316292172762	0.0	0.0	0.0
mRNA:Solyc00g500103.1.1	0.0	1.31273408013797	1.03614461366647	-0.520295290013883	-0.189860964195333	0.301299674786621	0.111509702882016
mRNA:Solyc00g500104.2.1	0.0	0.0	-0.247387019765754	-0.306359985382666	0.0	0.0	0.0
mRNA:Solyc00g500106.1.1	0.0	0.0	0.0419372836435474	-1.41466420153088	0.0	0.0	0.0
mRNA:Solyc00g500107.1.1	0.0	0.0	0.764658956057296	-0.458177648890044	0.0	0.0	0.0
mRNA:Solyc00g500108.1.1	0.0	0.0	-0.601940818010002	-0.722912837979636	0.0	0.0	0.0
mRNA:Solyc00g281110.1.1	0.0	0.0	-0.40220034132389	-0.306359985382666	0.0	0.0	0.0
mRNA:Solyc00g500109.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500110.1.1	0.0	0.0	-0.40220034132389	-0.153476463228033	0.0	0.0	0.0
mRNA:Solyc00g500111.1.1	0.0	0.0	0.003910449953701	0.0292890199699468	0.0	0.0	0.0
mRNA:Solyc00g500112.1.1	0.0	0.41002400004081	-0.277721492166676	-0.603745756821318	0.0	0.0	0.0
mRNA:Solyc00g142160.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g142170.2.1	0.0	0.0	-0.866367587684272	-0.370696996087431	0.0	0.0	0.0
mRNA:Solyc00g500113.1.1	0.0	0.0	1.13047564599259	0.56122393880667	0.0	0.0	0.0
mRNA:Solyc00g500114.1.1	0.0	0.0	-0.575875851068889	-0.108980351388947	0.0	0.0	0.190219979348414
mRNA:Solyc00g500116.1.1	0.0	0.0	-1.04405318169759	0.893592436478598	0.0	0.0	0.0
mRNA:Solyc00g500118.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500119.1.1	0.0	0.0	-0.105897562118279	0.752398955339585	0.0	0.0	0.0
mRNA:Solyc00g500120.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500121.1.1	0.0	0.0	-0.0686855001705258	0.0	0.0	0.0	0.0
mRNA:Solyc00g015600.1.1	-1.14303009977265	0.0	0.0	0.0	0.0	0.183448268636685	0.0
mRNA:Solyc00g500122.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g160650.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g160660.1.1	0.0	0.0	-0.40220034132389	-0.306359985382666	0.0	0.0	0.0
mRNA:Solyc00g160320.1.1	0.0	0.0	0.0	0.02706769674037	0.0	0.0	0.0
mRNA:Solyc00g160010.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g160330.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g007330.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g007340.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g007350.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g160020.1.1	0.0	0.0	-0.275224304541002	-0.31489889561301	0.0	0.0	0.0
mRNA:Solyc00g160340.1.1	-0.269777517819105	0.0	-1.36025315832299	-0.741582187811932	0.0	0.0	0.0
mRNA:Solyc00g160670.1.1	0.0	0.0	0.637416728902993	0.0	0.0	0.0	0.0
mRNA:Solyc00g160350.1.1	0.0	0.0	-1.85437057022833	-1.63666705570478	0.0	0.0	0.0
mRNA:Solyc00g500123.1.1	0.0	0.0	-0.3181283873292	-0.281672983438332	0.0	0.0	0.0
mRNA:Solyc00g500124.1.1	0.0	0.0	0.628179409077006	0.449612057366873	0.0	0.0	0.0
mRNA:Solyc00g500125.1.1	0.0	0.0	-0.441069666719634	0.256549392480897	0.0	0.0	0.0
mRNA:Solyc00g500126.1.1	0.0	0.0	-0.634772130578958	-0.234305033324103	0.0	0.0	0.0
mRNA:Solyc00g500127.1.1	0.0	0.0	0.0	0.994815206876345	0.0	0.0	0.0
mRNA:Solyc00g500128.1.1	0.0	0.0	0.438695676501689	0.297121194094682	0.0	0.0	0.0
mRNA:Solyc00g500129.1.1	0.0	0.173798941831914	-0.247387019765754	-0.156271846879852	0.0	0.0	0.0
mRNA:Solyc00g500130.1.1	0.0	0.0	-0.272641002298072	-1.15222901199017	0.0611872584305854	0.0	0.0
mRNA:Solyc00g500131.1.1	0.0	0.0	-0.0765206655582889	0.9501333877786	0.0	0.0	0.0
mRNA:Solyc00g500132.1.1	0.0	0.0	-0.0758879070860115	-0.393024147156862	0.0	0.0	0.0
mRNA:Solyc00g500133.1.1	0.0	0.0	0.0521243367405773	0.583818932409156	0.0	0.0	0.0
mRNA:Solyc00g500134.1.1	0.0	0.0	-0.207136393015344	-0.259947869450167	0.0	0.0	0.0
mRNA:Solyc00g500135.1.1	0.0	0.0	0.361380175745991	-0.183331964127432	0.0	0.0	0.0
mRNA:Solyc00g160170.1.1	0.0	0.0	-0.696210662993926	0.110327268010145	0.0	0.0	-0.0454822810464555
mRNA:Solyc00g500136.1.1	0.0	0.0	-0.518491776768117	-0.68289048862014	0.0	0.0	0.0
mRNA:Solyc00g500137.1.1	0.0	0.0	-0.81957659715785	-0.272931729684203	0.0	0.0	0.0
mRNA:Solyc00g500138.1.1	0.0	0.0	1.33189323305234	0.957189808704608	0.0	0.0	0.0
mRNA:Solyc00g500139.1.1	0.0	0.0	0.2690819164469	1.4780238021779	0.0	0.0	0.0
mRNA:Solyc00g500140.1.1	-0.115474542545799	0.0	0.130156163142842	0.294386184802273	0.0611872584305854	0.0	0.0
mRNA:Solyc00g500141.1.1	0.0	0.0	-0.271252208408238	-0.210775500936436	0.0	0.0	0.0
mRNA:Solyc00g500142.1.1	0.0	0.0	0.415625864650136	-0.242627356431024	0.0	0.0	0.0
mRNA:Solyc00g500144.1.1	0.0	0.0	1.38460194632726	-0.0971843533196535	-0.189860964195333	0.0	0.0
mRNA:Solyc00g500145.1.1	0.0	0.0	0.53467709960827	1.22013194472015	0.0	0.0	0.0
mRNA:Solyc00g500147.1.1	0.0	0.0	-0.40210297534435	-0.220864572495499	0.0	0.0	0.0
mRNA:Solyc00g500148.1.1	0.0	0.0	0.948802750778627	0.882490171143742	0.0	0.0	0.0
mRNA:Solyc00g500149.1.1	0.0	0.0	-0.133621816821554	-0.199547129618466	-0.44913842552283	0.0	0.190219979348414
mRNA:Solyc00g500150.1.1	-0.269777517819105	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500151.1.1	0.0	0.0	-0.0987710489851269	0.767724251812797	-3.30610309050885	-0.479050180553186	-0.876874653673007
mRNA:Solyc00g500152.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500153.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500154.1.1	0.0	0.0	-0.523813113699387	-0.219514059389656	0.0	0.0	0.0
mRNA:Solyc00g500155.1.1	0.0	0.0	-0.479787923822034	-1.47198985150398	0.0	0.0	0.0
mRNA:Solyc00g500156.1.1	0.0	0.0	-0.410961033796985	-0.31489889561301	0.0	0.0	0.0
mRNA:Solyc00g500157.1.1	0.0	0.0	-1.12381406564025	-0.337035682891271	0.0	0.0	0.0
mRNA:Solyc00g500158.1.1	0.0	0.0	-0.134218346202215	-0.434751268479578	0.0	0.0	0.0
