	log2FoldChange_Pinfestans	log2FoldChange_Cfulvum	log2FoldChange_PSTVd_S23	log2FoldChange_PSTVd_M	log2FoldChange_Bcinerea	log2FoldChange_Mincognita_7dpi	log2FoldChange_Mincognita_14dpi
mRNA:Solyc00g500078.1.1	0.0	0.736399783724	-2.78042943740896	-1.5421221068534	0.555459765268085	0.0	0.0
mRNA:Solyc00g500079.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500080.1.1	0.0	-1.18715356791849	-0.741348804780084	-1.44474695558466	0.0	0.0	0.0
mRNA:Solyc00g500081.1.1	0.0	-3.37688123319725	-0.572099669593615	1.10552113937477	0.0	0.0	0.0
mRNA:Solyc00g500082.1.1	0.0	-0.22537288848963	-1.24934711740265	-0.469507501706221	0.0	0.0	0.0
mRNA:Solyc00g500083.1.1	-0.359878022175322	3.65019681223796	0.267441750756535	0.0	-1.10862330811805	0.0	0.0
mRNA:Solyc00g500084.1.1	0.0	0.0	0.0	0.084235573464383	0.0	0.0	0.0
mRNA:Solyc00g500085.2.1	0.0	0.0	0.668737482966407	1.6187420333434	0.0	0.0	0.0
mRNA:Solyc00g160290.1.1	-0.359880990419458	-0.22537288848963	2.13435240951062	0.164244763022638	0.0	0.0	0.0
mRNA:Solyc00g500086.1.1	0.0	-2.06468155775138	-0.770140970378534	-1.45667941854448	0.0	0.0	0.0
mRNA:Solyc00g500087.1.1	0.0	3.6571160828662	0.929859599507098	0.827715900758277	0.0	0.0	0.0
mRNA:Solyc00g500088.2.1	0.0	0.0	-1.75127180420395	-1.45355668447392	0.188367651571188	0.0	0.0
mRNA:Solyc00g500089.1.1	0.0	0.0	-1.27634345067826	0.0725724676363457	-0.223824604655229	0.0	0.582145897807391
mRNA:Solyc00g160160.1.1	0.0	0.0	0.0	0.0	0.0	0.0	-0.139193177419182
mRNA:Solyc00g160630.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500091.2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g160310.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g160300.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g011670.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g011660.1.1	1.08279770220093	-2.12098798175871	-1.27634345067826	-0.97799774181373	-0.223824941376676	0.0	0.0
mRNA:Solyc00g500092.2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500093.1.1	-1.39478952745388	2.48708797703335	-0.213754555920079	0.0842355734643827	0.188367651571188	0.0	0.0
mRNA:Solyc00g160640.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500095.1.1	-2.19167258573861	0.0	0.656972438489259	-2.39875458617797	4.0820551471554	-1.81258672106777	1.87343027303929
mRNA:Solyc00g500096.2.1	0.0	0.0	0.0	0.084235573464383	0.0	0.0	0.0
mRNA:Solyc00g011560.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500097.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500098.1.1	0.0	0.0	0.221512190312186	-0.432131923140373	0.0	0.0	0.0
mRNA:Solyc00g500099.1.1	0.0	0.0	-0.0639737882008868	-0.0512117515811374	0.0	0.0	0.0
mRNA:Solyc00g500101.1.1	0.0	0.0	-0.177904067364213	-0.186450353369689	0.0	0.0	0.0
mRNA:Solyc00g500102.1.1	0.0	0.736399783724	0.972448640107789	1.14735162689811	0.0	0.0	0.0
mRNA:Solyc00g153980.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g309530.1.1	0.0	0.0	-1.24934711740265	-0.951635800775922	0.0	0.0	0.0
mRNA:Solyc00g164580.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g210860.1.1	0.0	0.736399783724	0.0	0.084235573464383	0.0	0.0	0.0
mRNA:Solyc00g025400.2.1	0.0	0.0	0.542809158684256	-0.951635800775922	0.0	0.0	0.0
mRNA:Solyc00g022070.1.1	0.0	0.0	-0.213754555920079	0.0	0.0	0.0	0.0
mRNA:Solyc00g022080.1.1	0.0	0.0	-1.24934711740265	0.0895449487746313	0.0	0.0	0.0
mRNA:Solyc00g022090.1.1	0.0	0.0	-1.05299343889194	-0.754246809580838	0.0	0.0	0.0
mRNA:Solyc00g022100.1.1	0.0	0.0	-0.284556862861529	-0.375682990465527	0.0	0.0	0.0
mRNA:Solyc00g500103.1.1	0.0	2.68694105451221	0.684952308561567	-0.271714456174055	-0.584495283296421	0.922092254917462	0.221485132523608
mRNA:Solyc00g500104.2.1	0.0	0.0	-0.768453488478591	-0.951635800775922	0.0	0.0	0.0
mRNA:Solyc00g500106.1.1	0.0	0.0	0.0313325011300562	-1.30506486235126	0.0	0.0	0.0
mRNA:Solyc00g500107.1.1	0.0	0.0	0.735332158366325	-0.5544045829136	0.0	0.0	0.0
