gene.name	pathway.name
Solyc05g050780	Biosynthesis of secondary metabolites
Solyc12g095880	Biosynthesis of secondary metabolites
Solyc11g007000	Biosynthesis of secondary metabolites
Solyc09g065780	Biosynthesis of secondary metabolites
Solyc07g064810	Biosynthesis of secondary metabolites
Solyc01g006310	Biosynthesis of secondary metabolites
Solyc07g064830	Biosynthesis of secondary metabolites
Solyc04g045340	Biosynthesis of secondary metabolites
Solyc12g099260	Biosynthesis of secondary metabolites
Solyc07g055300	Biosynthesis of secondary metabolites
Solyc11g005620	Biosynthesis of secondary metabolites
Solyc04g083160	Biosynthesis of secondary metabolites
Solyc10g079500	Biosynthesis of secondary metabolites
Solyc03g032220	Biosynthesis of secondary metabolites
Solyc03g006810	Biosynthesis of secondary metabolites
Solyc05g050970	Biosynthesis of secondary metabolites
Solyc12g099360	Biosynthesis of secondary metabolites
Solyc02g093250	Biosynthesis of secondary metabolites
Solyc03g111200	Biosynthesis of secondary metabolites
Solyc03g006700	Biosynthesis of secondary metabolites
Solyc05g050980	Biosynthesis of secondary metabolites
Solyc05g013380	Biosynthesis of secondary metabolites
Solyc04g054890	Biosynthesis of secondary metabolites
Solyc07g017900	Biosynthesis of secondary metabolites
Solyc05g012150	Biosynthesis of secondary metabolites
Solyc12g043020	Biosynthesis of secondary metabolites
Solyc11g040390	Biosynthesis of secondary metabolites
Solyc06g076510	Biosynthesis of secondary metabolites
Solyc06g050630	Biosynthesis of secondary metabolites
Solyc08g068580	Biosynthesis of secondary metabolites
Solyc12g011170	Biosynthesis of secondary metabolites
Solyc04g011350	Biosynthesis of secondary metabolites
Solyc01g094500	Biosynthesis of secondary metabolites
Solyc07g017770	Biosynthesis of secondary metabolites
Solyc04g054950	Biosynthesis of secondary metabolites
Solyc08g077180	Biosynthesis of secondary metabolites
Solyc07g006530	Biosynthesis of secondary metabolites
Solyc02g080120	Biosynthesis of secondary metabolites
Solyc04g080610	Biosynthesis of secondary metabolites
Solyc09g083050	Biosynthesis of secondary metabolites
Solyc06g060250	Biosynthesis of secondary metabolites
Solyc12g056530	Biosynthesis of secondary metabolites
Solyc04g025940	Biosynthesis of secondary metabolites
Solyc08g016010	Biosynthesis of secondary metabolites
Solyc03g007810	Biosynthesis of secondary metabolites
Solyc08g041870	Biosynthesis of secondary metabolites
Solyc06g054240	Biosynthesis of secondary metabolites
Solyc01g109370	Biosynthesis of secondary metabolites
Solyc07g053270	Biosynthesis of secondary metabolites
Solyc06g060310	Biosynthesis of secondary metabolites
Solyc02g063000	Biosynthesis of secondary metabolites
Solyc10g079110	Biosynthesis of secondary metabolites
Solyc09g082970	Biosynthesis of secondary metabolites
Solyc10g005110	Biosynthesis of secondary metabolites
Solyc11g010120	Biosynthesis of secondary metabolites
Solyc09g061680	Biosynthesis of secondary metabolites
Solyc05g008370	Biosynthesis of secondary metabolites
Solyc09g082860	Biosynthesis of secondary metabolites
Solyc11g011330	Biosynthesis of secondary metabolites
Solyc08g015660	Biosynthesis of secondary metabolites
Solyc06g069530	Biosynthesis of secondary metabolites
Solyc04g025530	Biosynthesis of secondary metabolites
Solyc06g005720	Biosynthesis of secondary metabolites
Solyc10g038080	Biosynthesis of secondary metabolites
Solyc06g064550	Biosynthesis of secondary metabolites
Solyc06g053980	Biosynthesis of secondary metabolites
Solyc06g076880	Biosynthesis of secondary metabolites
Solyc12g009470	Biosynthesis of secondary metabolites
Solyc12g042600	Biosynthesis of secondary metabolites
Solyc11g007720	Biosynthesis of secondary metabolites
Solyc06g082030	Biosynthesis of secondary metabolites
Solyc11g065220	Biosynthesis of secondary metabolites
Solyc02g085350	Biosynthesis of secondary metabolites
Solyc10g006400	Biosynthesis of secondary metabolites
Solyc01g010390	Biosynthesis of secondary metabolites
Solyc02g081730	Biosynthesis of secondary metabolites
Solyc04g015100	Biosynthesis of secondary metabolites
Solyc02g091510	Biosynthesis of secondary metabolites
Solyc06g076950	Biosynthesis of secondary metabolites
Solyc03g098300	Biosynthesis of secondary metabolites
Solyc05g009390	Biosynthesis of secondary metabolites
Solyc10g008740	Biosynthesis of secondary metabolites
Solyc01g098550	Biosynthesis of secondary metabolites
Solyc02g090450	Biosynthesis of secondary metabolites
Solyc07g064280	Biosynthesis of secondary metabolites
Solyc05g024160	Biosynthesis of secondary metabolites
Solyc08g066650	Biosynthesis of secondary metabolites
Solyc01g094700	Biosynthesis of secondary metabolites
Solyc08g014330	Biosynthesis of secondary metabolites
Solyc02g032330	Biosynthesis of secondary metabolites
Solyc02g082860	Biosynthesis of secondary metabolites
Solyc05g015950	Biosynthesis of secondary metabolites
Solyc07g065470	Biosynthesis of secondary metabolites
Solyc10g050160	Biosynthesis of secondary metabolites
Solyc07g061990	Biosynthesis of secondary metabolites
Solyc03g065340	Biosynthesis of secondary metabolites
Solyc07g014730	Biosynthesis of secondary metabolites
Solyc09g018510	Biosynthesis of secondary metabolites
Solyc10g078740	Biosynthesis of secondary metabolites
Solyc09g082460	Biosynthesis of secondary metabolites
Solyc10g074500	Biosynthesis of secondary metabolites
Solyc09g014350	Biosynthesis of secondary metabolites
Solyc01g007950	Biosynthesis of secondary metabolites
Solyc03g097030	Biosynthesis of secondary metabolites
Solyc04g053120	Biosynthesis of secondary metabolites
Solyc01g104000	Biosynthesis of secondary metabolites
Solyc03g111850	Biosynthesis of secondary metabolites
Solyc08g076650	Biosynthesis of secondary metabolites
Solyc06g074390	Biosynthesis of secondary metabolites
Solyc03g044660	Biosynthesis of secondary metabolites
Solyc02g081980	Biosynthesis of secondary metabolites
Solyc04g077440	Biosynthesis of secondary metabolites
Solyc04g072920	Biosynthesis of secondary metabolites
Solyc08g005610	Biosynthesis of secondary metabolites
Solyc02g069250	Biosynthesis of secondary metabolites
Solyc02g084570	Biosynthesis of secondary metabolites
Solyc12g035190	Biosynthesis of secondary metabolites
Solyc03g113030	Biosynthesis of secondary metabolites
Solyc12g021130	Biosynthesis of secondary metabolites
Solyc02g080810	Biosynthesis of secondary metabolites
Solyc02g091830	Biosynthesis of secondary metabolites
Solyc04g056540	Biosynthesis of secondary metabolites
Solyc03g019670	Biosynthesis of secondary metabolites
Solyc09g008840	Biosynthesis of secondary metabolites
Solyc03g044330	Biosynthesis of secondary metabolites
Solyc01g094930	Biosynthesis of secondary metabolites
Solyc12g009940	Biosynthesis of secondary metabolites
Solyc10g007960	Biosynthesis of secondary metabolites
Solyc02g082090	Biosynthesis of secondary metabolites
Solyc02g084660	Biosynthesis of secondary metabolites
Solyc05g005180	Biosynthesis of secondary metabolites
Solyc04g054310	Biosynthesis of secondary metabolites
Solyc01g110360	Biosynthesis of secondary metabolites
Solyc05g053540	Biosynthesis of secondary metabolites
Solyc02g062510	Biosynthesis of secondary metabolites
Solyc02g093990	Biosynthesis of secondary metabolites
Solyc05g005160	Biosynthesis of secondary metabolites
Solyc02g091970	Biosynthesis of secondary metabolites
Solyc10g006650	Biosynthesis of secondary metabolites
Solyc04g078460	Biosynthesis of secondary metabolites
Solyc10g083970	Biosynthesis of secondary metabolites
Solyc01g102410	Biosynthesis of secondary metabolites
Solyc01g093990	Biosynthesis of secondary metabolites
Solyc06g009820	Biosynthesis of secondary metabolites
Solyc05g056420	Biosynthesis of secondary metabolites
Solyc10g086180	Biosynthesis of secondary metabolites
Solyc08g061930	Biosynthesis of secondary metabolites
Solyc09g092130	Biosynthesis of secondary metabolites
Solyc09g064370	Biosynthesis of secondary metabolites
Solyc04g051190	Biosynthesis of secondary metabolites
Solyc01g097340	Biosynthesis of secondary metabolites
Solyc09g018790	Biosynthesis of secondary metabolites
Solyc11g011920	Biosynthesis of secondary metabolites
Solyc07g006500	Biosynthesis of secondary metabolites
Solyc07g061720	Biosynthesis of secondary metabolites
Solyc10g007600	Biosynthesis of secondary metabolites
Solyc12g044600	Carbon metabolism
Solyc09g009020	Carbon metabolism
Solyc09g008670	Carbon metabolism
Solyc02g082760	Carbon metabolism
Solyc12g095880	Carbon metabolism
Solyc05g050970	Carbon metabolism
Solyc12g099360	Carbon metabolism
Solyc05g013380	Carbon metabolism
Solyc04g054890	Carbon metabolism
Solyc06g076510	Carbon metabolism
Solyc04g011350	Carbon metabolism
Solyc04g082630	Carbon metabolism
Solyc08g077180	Carbon metabolism
Solyc12g056530	Carbon metabolism
Solyc03g007810	Carbon metabolism
Solyc09g082970	Carbon metabolism
Solyc04g016360	Carbon metabolism
Solyc05g008370	Carbon metabolism
Solyc06g069530	Carbon metabolism
Solyc11g007720	Carbon metabolism
Solyc11g065220	Carbon metabolism
Solyc02g085350	Carbon metabolism
Solyc04g015100	Carbon metabolism
Solyc05g024160	Carbon metabolism
Solyc02g082860	Carbon metabolism
Solyc05g015950	Carbon metabolism
Solyc07g065470	Carbon metabolism
Solyc01g080930	Carbon metabolism
Solyc10g074500	Carbon metabolism
Solyc01g104000	Carbon metabolism
Solyc12g094640	Carbon metabolism
Solyc02g080810	Carbon metabolism
Solyc02g091830	Carbon metabolism
Solyc09g008840	Carbon metabolism
Solyc01g110360	Carbon metabolism
Solyc01g093990	Carbon metabolism
Solyc06g009820	Carbon metabolism
Solyc09g064370	Carbon metabolism
Solyc09g018790	Carbon metabolism
Solyc10g007600	Carbon metabolism
Solyc01g112280	2-Oxocarboxylic acid metabolism
Solyc11g005620	2-Oxocarboxylic acid metabolism
Solyc05g013380	2-Oxocarboxylic acid metabolism
Solyc12g043020	2-Oxocarboxylic acid metabolism
Solyc04g011350	2-Oxocarboxylic acid metabolism
Solyc08g041870	2-Oxocarboxylic acid metabolism
Solyc11g007720	2-Oxocarboxylic acid metabolism
Solyc05g024160	2-Oxocarboxylic acid metabolism
Solyc02g082860	2-Oxocarboxylic acid metabolism
Solyc10g074500	2-Oxocarboxylic acid metabolism
Solyc03g044330	2-Oxocarboxylic acid metabolism
Solyc04g054310	2-Oxocarboxylic acid metabolism
Solyc05g053540	2-Oxocarboxylic acid metabolism
Solyc02g091970	2-Oxocarboxylic acid metabolism
Solyc04g054890	Fatty acid metabolism
Solyc07g049570	Fatty acid metabolism
Solyc06g069530	Fatty acid metabolism
Solyc04g015100	Fatty acid metabolism
Solyc10g078740	Fatty acid metabolism
Solyc09g092450	Fatty acid metabolism
Solyc12g006930	Fatty acid metabolism
Solyc12g044300	Fatty acid metabolism
Solyc11g018580	Fatty acid metabolism
Solyc09g009020	Biosynthesis of amino acids
Solyc01g080280	Biosynthesis of amino acids
Solyc09g008670	Biosynthesis of amino acids
Solyc01g112280	Biosynthesis of amino acids
Solyc12g095880	Biosynthesis of amino acids
Solyc07g064810	Biosynthesis of amino acids
Solyc11g005620	Biosynthesis of amino acids
Solyc05g050970	Biosynthesis of amino acids
Solyc05g050980	Biosynthesis of amino acids
Solyc05g013380	Biosynthesis of amino acids
Solyc12g043020	Biosynthesis of amino acids
Solyc11g040390	Biosynthesis of amino acids
Solyc06g076510	Biosynthesis of amino acids
Solyc06g050630	Biosynthesis of amino acids
Solyc08g077180	Biosynthesis of amino acids
Solyc04g080610	Biosynthesis of amino acids
Solyc03g007810	Biosynthesis of amino acids
Solyc08g041870	Biosynthesis of amino acids
Solyc09g082970	Biosynthesis of amino acids
Solyc05g008370	Biosynthesis of amino acids
Solyc10g038080	Biosynthesis of amino acids
Solyc06g064550	Biosynthesis of amino acids
Solyc10g006400	Biosynthesis of amino acids
Solyc01g098550	Biosynthesis of amino acids
Solyc07g064280	Biosynthesis of amino acids
Solyc02g082860	Biosynthesis of amino acids
Solyc07g065470	Biosynthesis of amino acids
Solyc10g074500	Biosynthesis of amino acids
Solyc01g104000	Biosynthesis of amino acids
Solyc03g111850	Biosynthesis of amino acids
Solyc03g044660	Biosynthesis of amino acids
Solyc12g035190	Biosynthesis of amino acids
Solyc09g008840	Biosynthesis of amino acids
Solyc03g044330	Biosynthesis of amino acids
Solyc01g110360	Biosynthesis of amino acids
Solyc05g053540	Biosynthesis of amino acids
