tf.name	target.name	reg.evidence
Solyc01g102300	Solyc10g007960	motif, motif_CE
Solyc01g102300	Solyc09g091370	motif, motif_CE
Solyc01g102300	Solyc09g091240	motif, motif_CE
Solyc01g102300	Solyc09g082560	FunTFBS, motif, motif_CE
Solyc01g102300	Solyc09g007990	motif, motif_CE
Solyc01g102300	Solyc09g007830	motif, motif_CE
Solyc01g102300	Solyc08g082590	motif, motif_CE
Solyc01g102300	Solyc08g082120	motif, motif_CE
Solyc01g102300	Solyc08g080690	motif, motif_CE
Solyc01g102300	Solyc08g061980	motif, motif_CE
Solyc01g102300	Solyc08g005610	motif, motif_CE
Solyc01g102300	Solyc07g065880	motif, motif_CE
Solyc01g102300	Solyc07g064080	FunTFBS, motif, motif_CE
Solyc01g102300	Solyc07g061890	FunTFBS, motif
Solyc01g102300	Solyc07g053900	motif, motif_CE
Solyc01g102300	Solyc07g053450	motif, motif_CE
Solyc01g102300	Solyc07g053140	motif, motif_CE
Solyc01g102300	Solyc07g045140	FunTFBS, motif
Solyc01g102300	Solyc07g026650	motif, motif_CE
Solyc01g102300	Solyc06g076390	motif, motif_CE
Solyc01g102300	Solyc06g076140	motif, motif_CE
Solyc01g102300	Solyc06g075650	motif, motif_CE
Solyc01g102300	Solyc06g074170	FunTFBS, motif
Solyc01g102300	Solyc06g069600	motif, motif_CE
Solyc01g102300	Solyc06g060310	motif, motif_CE
Solyc01g102300	Solyc06g053830	motif, motif_CE
Solyc01g102300	Solyc06g035690	FunTFBS, motif, motif_CE
Solyc01g102300	Solyc05g009150	FunTFBS, motif, motif_CE
Solyc01g102300	Solyc04g082000	motif, motif_CE
Solyc01g102300	Solyc04g080820	motif, motif_CE
Solyc01g102300	Solyc04g079690	motif, motif_CE
Solyc01g102300	Solyc04g054890	FunTFBS, motif, motif_CE
Solyc01g102300	Solyc04g051690	FunTFBS, motif, motif_CE
Solyc01g102300	Solyc04g008230	FunTFBS, motif, motif_CE
Solyc01g102300	Solyc03g120170	motif, motif_CE
Solyc01g102300	Solyc03g119520	motif, motif_CE
Solyc01g102300	Solyc03g118620	motif, motif_CE
Solyc01g102300	Solyc03g114160	motif, motif_CE
Solyc01g102300	Solyc03g025340	motif, motif_CE
Solyc01g102300	Solyc02g093220	motif, motif_CE
Solyc01g102300	Solyc02g093190	motif, motif_CE
Solyc01g102300	Solyc02g092790	FunTFBS, motif, motif_CE
Solyc01g102300	Solyc02g092670	FunTFBS, motif, motif_CE
Solyc01g102300	Solyc02g091010	motif, motif_CE
Solyc01g102300	Solyc02g090900	motif, motif_CE
