TF	Target_Gene
Solyc01g095460	Solyc06g068690
Solyc01g095460	Solyc06g066090
Solyc01g095460	Solyc06g060310
Solyc01g095460	Solyc06g053830
Solyc01g095460	Solyc05g052420
Solyc01g095460	Solyc05g024020
Solyc01g095460	Solyc05g018210
Solyc01g095460	Solyc05g009150
Solyc01g095460	Solyc04g081890
Solyc01g095460	Solyc04g081810
Solyc01g095460	Solyc04g079690
Solyc01g095460	Solyc04g076020
Solyc01g095460	Solyc04g054890
Solyc01g095460	Solyc04g051690
Solyc01g095460	Solyc04g008230
Solyc01g095460	Solyc04g005830
Solyc01g095460	Solyc04g005820
Solyc01g095460	Solyc03g119450
Solyc01g095460	Solyc03g118670
Solyc01g095460	Solyc03g118620
Solyc01g095460	Solyc03g117680
Solyc01g095460	Solyc03g116750
Solyc01g095460	Solyc03g114160
Solyc01g095460	Solyc03g112930
Solyc01g095460	Solyc03g083190
Solyc01g095460	Solyc03g051770
Solyc01g095460	Solyc03g025340
Solyc01g095460	Solyc03g005770
Solyc01g095460	Solyc02g093590
Solyc01g095460	Solyc02g093190
Solyc01g095460	Solyc02g091660
Solyc01g095460	Solyc02g091010
Solyc01g095460	Solyc02g089990
Solyc01g095460	Solyc02g086300
Solyc01g095460	Solyc02g023990
Solyc01g095460	Solyc01g109870
Solyc01g095460	Solyc01g109060
Solyc01g095460	Solyc01g106280
Solyc01g095460	Solyc01g105410
Solyc01g095460	Solyc01g103170
Solyc01g095460	Solyc01g095670
Solyc01g095460	Solyc01g095200
Solyc01g095460	Solyc01g094750
Solyc01g095460	Solyc01g094720
Solyc01g095460	Solyc01g088020
Solyc01g095460	Solyc01g080160
Solyc01g095460	Solyc01g067890
Solyc01g095460	Solyc01g005640
Solyc01g102300	Solyc12g099400
Solyc01g102300	Solyc12g088680
Solyc01g102300	Solyc12g055930
Solyc01g102300	Solyc12g006120
Solyc01g102300	Solyc11g056680
Solyc01g102300	Solyc11g008250
Solyc01g102300	Solyc10g086650
Solyc01g102300	Solyc10g085680
Solyc01g102300	Solyc10g079880
Solyc01g102300	Solyc10g007960
Solyc01g102300	Solyc09g091370
Solyc01g102300	Solyc09g091240
Solyc01g102300	Solyc09g082560
Solyc01g102300	Solyc09g007990
Solyc01g102300	Solyc09g007830
Solyc01g102300	Solyc08g082590
Solyc01g102300	Solyc08g082120
Solyc01g102300	Solyc08g080690
Solyc01g102300	Solyc08g061980
Solyc01g102300	Solyc08g005610
Solyc01g102300	Solyc07g065880
Solyc01g102300	Solyc07g064080
Solyc01g102300	Solyc07g061890
Solyc01g102300	Solyc07g053900
Solyc01g102300	Solyc07g053450
Solyc01g102300	Solyc07g053140
Solyc01g102300	Solyc07g045140
Solyc01g102300	Solyc07g026650
Solyc01g102300	Solyc06g076390
Solyc01g102300	Solyc06g076140
Solyc01g102300	Solyc06g075650
Solyc01g102300	Solyc06g074170
Solyc01g102300	Solyc06g069600
Solyc01g102300	Solyc06g060310
Solyc01g102300	Solyc06g053830
Solyc01g102300	Solyc06g035690
Solyc01g102300	Solyc05g009150
Solyc01g102300	Solyc04g082000
Solyc01g102300	Solyc04g080820
Solyc01g102300	Solyc04g079690
Solyc01g102300	Solyc04g054890
Solyc01g102300	Solyc04g051690
Solyc01g102300	Solyc04g008230
